name,cultural_enrichment,approximate_cost,location,season,population_density,camping_available,network_availability,description,approximate_cost_category,population_density_category,network_availability_category,active_activity,adventure_activity,architecture_activity,beach_activity,beach_activity отдых,cave_activity,cultural_activity,ecotourism_activity,ethnic_activity,excursion_activity,extreme_activity,family_activity,fishing_activity,gastronomic_activity,hiking_activity,horse_riding_activity,industrial_activity,marine_activity,military_history_activity,mountaineering_activity,nature_activity,nature_observation_activity,rafting_activity,religious_activity,skiing_activity,water_activity,water_sports_activity,wellness_activity,wine_activity,cave_terrain,chalky_terrain,coast_terrain,desert_terrain,dune_terrain,forest_steppe_terrain,forest_terrain,glacier_terrain,hill_terrain,island_terrain,lake_terrain,marine_terrain,mountain_taiga_terrain,mountain_terrain,plain_terrain,plateau_terrain,quarry_terrain,river_coast_terrain,river_terrain,rocky_terrain,salt_terrain,steppe_terrain,taiga_terrain,tundra_terrain,valley_terrain,vineyard_terrain,volcanic_terrain,waterfall_terrain
Золотое кольцо России,1,15000.0,Центральная Россия,summer,50,0,90,"Погрузитесь в богатую историю и культуру древних русских городов, таких как Владимир, Суздаль и Ярославль. Вы посетите величественные соборы, монастыри и музеи, познакомитесь с традиционными ремеслами и попробуете местную кухню. Это путешествие позволит вам прикоснуться к истокам русской цивилизации и насладиться красотой архитектурных шедевров.",Very cheap,Low,High network availability,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Байкальское приключение,0,25000.0,Байкал,summer,10,1,60,"Отправьтесь в захватывающее приключение на легендарное озеро Байкал. Вас ждут треккинги по живописным горным тропам, рафтинг по бурным рекам и кемпинг в нетронутой природе. Вы сможете насладиться потрясающими видами, чистейшим воздухом и возможностью наблюдать за редкими животными в их естественной среде обитания.",Cheap,Very low,Medium network availability,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Крымский рай,1,20000.0,Крым,summer,80,0,95,"Откройте для себя уникальное сочетание пляжного отдыха и культурного наследия в Крыму. Вы сможете понежиться на солнечных пляжах Черного моря, совершить увлекательные экскурсии по древним городам, таким как Севастополь и Херсонес, и посетить живописные горные районы. Крым предлагает разнообразие ландшафтов, богатую историю и гостеприимство местных жителей.",Cheap,Low,High network availability,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Камчатские гейзеры,0,40000.0,Камчатка,summer,5,1,30,"Отправьтесь в незабываемое путешествие по одному из самых удаленных и нетронутых уголков России - полуострову Камчатка. Вас ждут восхождения на действующие вулканы, наблюдение за извержениями и гейзерами, а также возможность увидеть уникальную фауну региона. Это экстремальное приключение подарит вам незабываемые впечатления и позволит прикоснуться к силе природы.",Cheap,Very low,Low network availability,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Северное сияние,0,30000.0,Мурманская область,winter,20,1,70,"Отправьтесь в захватывающее путешествие на Крайний Север России, чтобы стать свидетелем одного из самых впечатляющих природных явлений - северного сияния. Вы также познакомитесь с культурой и бытом коренных народов Севера, таких как саамы, научитесь управлять собачьими упряжками и насладитесь потрясающими видами заснеженной тундры.",Cheap,Very low,High network availability,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Казанское наследие,1,18000.0,Казань,summer,90,0,100,"Погрузитесь в богатую историю и культуру Казани, одного из самых ярких городов России. Вы посетите величественный Казанский Кремль, мечети и православные церкви, познакомитесь с татарской культурой и традициями, а также сможете насладиться местной кухней и ремеслами. Казань - это уникальное сочетание восточных и европейских влияний, которое оставит незабываемые впечатления.",Very cheap,Low,High network availability,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Курильское кольцо,0,55000.0,Курильские острова,summer,2,1,20,"Совершите незабываемое путешествие по Курильским островам, где вас ждут потрясающие виды на действующие вулканы, горячие источники и нетронутую природу. Вы сможете наблюдать за китами и морскими львами, посетить заповедники и познакомиться с уникальной флорой и фауной региона.",Average,Very low,Low network availability,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Камчатский полуостров,1,80000.0,Камчатский край,summer,1,1,60,"Камчатский полуостров - это уникальный регион, известный своими действующими вулканами, горячими источниками, медведями и другими дикими животными. Здесь вы сможете совершить незабываемые походы, понаблюдать за китами и птицами, а также познакомиться с культурой коренных народов Камчатки.",Average,Very low,Medium network availability,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Санкт-Петербург,1,30000.0,Ленинградская область,summer,3800,0,95,"Санкт-Петербург - это культурная столица России, известная своими величественными дворцами, соборами, музеями и парками. Во время поездки вы сможете погрузиться в атмосферу имперского великолепия, посетить Эрмитаж, Петергоф и другие знаковые достопримечательности города.",Cheap,Very high,High network availability,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Плато Путорана,1,100000.0,Красноярский край,summer,0,1,30,"Плато Путорана - это удивительный природный регион, расположенный на севере Красноярского края. Здесь вы сможете увидеть величественные горные хребты, глубокие каньоны, бесчисленные озера и водопады. Это идеальное место для любителей нетронутой природы и активного отдыха.",Expensive,Very low,Low network availability,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
